TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-05 10:45:45
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  3.385647 ,  3.756447 , -100.4364 , -1.304666  
 0.005 ,  3.385265 ,  3.756065 , -100.4364 , -1.258888  
 0.01 ,  3.385647 ,  3.756065 , -100.4593 , -1.304666  
 0.015 ,  3.385647 ,  3.756065 , -100.4593 , -1.350444  
 0.02 ,  3.384884 ,  3.756065 , -100.4593 , -1.350444  
 0.025 ,  3.385647 ,  3.756065 , -100.4593 , -1.350444  
 0.03 ,  3.384884 ,  3.756065 , -100.4364 , -1.350444  
 0.035 ,  3.386028 ,  3.756065 , -100.4593 , -1.350444  
 0.04 ,  3.385647 ,  3.755684 , -100.4364 , -1.304666  
 4.499999E-02 ,  3.385647 ,  3.755684 , -100.4364 , -1.304666  
 4.999999E-02 ,  3.385647 ,  3.756447 , -100.4364 , -1.281777  
 5.499999E-02 ,  3.385265 ,  3.756065 , -100.4364 , -1.327555  
 5.999999E-02 ,  3.385265 ,  3.756065 , -100.4364 , -1.350444  
 6.499999E-02 ,  3.385647 ,  3.756065 , -100.4364 , -1.304666  
 6.999999E-02 ,  3.386028 ,  3.755684 , -100.4135 , -1.327555  
 0.075 ,  3.385647 ,  3.756447 , -100.4135 , -1.327555  
 0.08 ,  3.385265 ,  3.756065 , -100.3906 , -1.281777  
 0.085 ,  3.385265 ,  3.756065 , -100.4135 , -1.304666  
 0.09 ,  3.385647 ,  3.755684 , -100.4135 , -1.281777  
 9.500001E-02 ,  3.385647 ,  3.756447 , -100.4364 , -1.304666  
 0.1 ,  3.385647 ,  3.755684 , -100.4364 , -1.327555  
 0.105 ,  3.385647 ,  3.756447 , -100.4593 , -1.350444  
 0.11 ,  3.386028 ,  3.756447 , -100.4593 , -1.327555  
 0.115 ,  3.385647 ,  3.756065 , -100.4364 , -1.327555  
 0.12 ,  3.385647 ,  3.755684 , -100.4364 , -1.350444  
 0.125 ,  3.385265 ,  3.756065 , -100.4593 , -1.350444  
 0.13 ,  3.385647 ,  3.756065 , -100.4135 , -1.327555  
 0.135 ,  3.386028 ,  3.756828 , -100.4364 , -1.304666  
 0.14 ,  3.385647 ,  3.756065 , -100.3906 , -1.236  
 0.145 ,  3.385647 ,  3.756447 , -100.4135 , -1.327555  
 0.15 ,  3.385647 ,  3.756065 , -100.4364 , -1.327555  
 0.155 ,  3.386028 ,  3.756828 , -100.4135 , -1.304666  
 0.16 ,  3.386028 ,  3.756447 , -100.4135 , -1.350444  
 0.165 ,  3.385647 ,  3.756828 , -100.4364 , -1.304666  
 0.17 ,  3.38641 ,  3.756065 , -100.4364 , -1.304666  
 0.175 ,  3.385647 ,  3.756447 , -100.4593 , -1.281777  
 0.18 ,  3.385647 ,  3.756447 , -100.4135 , -1.304666  
 0.185 ,  3.385647 ,  3.756828 , -100.4364 , -1.281777  
 0.19 ,  3.385647 ,  3.756828 , -100.4364 , -1.350444  
 0.1949999 ,  3.386028 ,  3.756828 , -100.4593 , -1.281777  
 0.1999999 ,  3.385647 ,  3.756447 , -100.3906 , -1.327555  
 0.2049999 ,  3.38641 ,  3.756828 , -100.4135 , -1.304666  
 0.2099999 ,  3.385647 ,  3.756828 , -100.3448 , -1.258888  
 0.2149999 ,  3.386028 ,  3.756447 , -100.4364 , -1.350444  
 0.2199999 ,  3.385647 ,  3.756447 , -100.4364 , -1.327555  
 0.2249999 ,  3.385647 ,  3.756828 , -100.4593 , -1.327555  
 0.2299999 ,  3.386028 ,  3.756828 , -100.4593 , -1.327555  
 0.2349999 ,  3.385265 ,  3.756065 , -100.4593 , -1.327555  
 0.2399999 ,  3.385265 ,  3.756447 , -100.4364 , -1.350444  
 0.2449999 ,  3.385647 ,  3.756447 , -100.4593 , -1.327555  
 0.2499999 ,  3.385647 ,  3.756447 , -100.4364 , -1.304666  
 0.2549999 ,  3.385647 ,  3.756065 , -100.4364 , -1.350444  
 0.2599999 ,  3.385265 ,  3.756065 , -100.4593 , -1.327555  
 0.2649999 ,  3.385647 ,  3.756065 , -100.4593 , -1.327555  
 0.2699999 ,  3.386028 ,  3.756828 , -100.4364 , -1.281777  
 0.2749999 ,  3.385647 ,  3.755684 , -100.4593 , -1.327555  
 0.2799999 ,  3.385647 ,  3.756828 , -100.4593 , -1.304666  
 0.2849999 ,  3.385647 ,  3.756065 , -100.4593 , -1.350444  
 0.2899999 ,  3.385647 ,  3.756447 , -100.4364 , -1.350444  
 0.2949999 ,  3.385647 ,  3.755684 , -100.4364 , -1.327555  
 0.2999999 ,  3.385647 ,  3.756828 , -100.3906 , -1.304666  
 0.3049999 ,  3.38641 ,  3.756065 , -100.4593 , -1.350444  
 0.3099999 ,  3.385265 ,  3.756447 , -100.4364 , -1.350444  
 0.3149998 ,  3.386028 ,  3.756447 , -100.4593 , -1.304666  
 0.3199998 ,  3.385647 ,  3.756447 , -100.4822 , -1.396222  
 0.3249998 ,  3.385647 ,  3.756065 , -100.3906 , -1.327555  
 0.3299998 ,  3.385647 ,  3.756447 , -100.4135 , -1.258888  
 0.3349998 ,  3.385265 ,  3.755684 , -100.4822 , -1.304666  
 0.3399998 ,  3.386028 ,  3.756447 , -100.4593 , -1.327555  
 0.3449998 ,  3.385647 ,  3.756065 , -100.3906 , -1.304666  
 0.3499998 ,  3.385647 ,  3.756447 , -100.4593 , -1.258888  
 0.3549998 ,  3.385647 ,  3.756065 , -100.4364 , -1.327555  
 0.3599998 ,  3.386028 ,  3.756065 , -100.4364 , -1.304666  
 0.3649998 ,  3.385647 ,  3.756065 , -100.4135 , -1.304666  
 0.3699998 ,  3.385647 ,  3.756447 , -100.4364 , -1.350444  
 0.3749998 ,  3.385647 ,  3.756447 , -100.4593 , -1.304666  
 0.3799998 ,  3.385647 ,  3.756447 , -100.4593 , -1.327555  
 0.3849998 ,  3.385647 ,  3.756447 , -100.4135 , -1.327555  
 0.3899998 ,  3.385647 ,  3.755684 , -100.4364 , -1.350444  
 0.3949998 ,  3.385647 ,  3.756447 , -100.4364 , -1.327555  
 0.3999998 ,  3.386028 ,  3.756065 , -100.4593 , -1.258888  
 0.4049998 ,  3.386791 ,  3.756828 , -100.4135 , -1.281777  
 0.4099998 ,  3.386028 ,  3.756065 , -100.4135 , -1.304666  
 0.4149998 ,  3.387173 ,  3.756447 , -100.4364 , -1.258888  
 0.4199997 ,  3.38641 ,  3.756065 , -100.4364 , -1.304666  
 0.4249997 ,  3.38641 ,  3.756447 , -100.4364 , -1.281777  
