TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-19 20:29:13
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  4.533143 ,  4.50148 , -100.0931 , -0.9842218  
 0.005 ,  4.531998 ,  4.500717 , -100.0702 , -1.03  
 0.01 ,  4.532761 ,  4.50148 , -100.0244 , -1.03  
 0.015 ,  4.532761 ,  4.500335 , -100.0015 , -1.007111  
 0.02 ,  4.53238 ,  4.500717 , -100.0244 , -1.03  
 0.025 ,  4.533143 ,  4.500335 , -100.0015 , -1.03  
 0.03 ,  4.532761 ,  4.500717 , -99.97862 , -1.03  
 0.035 ,  4.533143 ,  4.500335 , -100.0244 , -1.03  
 0.04 ,  4.531998 ,  4.500717 , -100.0015 , -1.052889  
 4.499999E-02 ,  4.53238 ,  4.500335 , -100.0473 , -1.03  
 4.999999E-02 ,  4.531998 ,  4.501098 , -100.0015 , -1.007111  
 5.499999E-02 ,  4.531617 ,  4.500717 , -100.0244 , -1.052889  
 5.999999E-02 ,  4.532761 ,  4.500717 , -100.0702 , -1.052889  
 6.499999E-02 ,  4.531617 ,  4.500717 , -100.0244 , -1.052889  
 6.999999E-02 ,  4.532761 ,  4.500335 , -100.0702 , -1.03  
 0.075 ,  4.53238 ,  4.500717 , -100.0244 , -1.075777  
 0.08 ,  4.531998 ,  4.500335 , -100.0244 , -1.075777  
 0.085 ,  4.53238 ,  4.500717 , -100.0473 , -1.075777  
 0.09 ,  4.531617 ,  4.500335 , -100.0244 , -1.098666  
 9.500001E-02 ,  4.532761 ,  4.501098 , -100.0244 , -1.052889  
 0.1 ,  4.531617 ,  4.500335 , -100.0244 , -1.075777  
 0.105 ,  4.53238 ,  4.500717 , -100.0473 , -1.052889  
 0.11 ,  4.531998 ,  4.499572 , -100.0931 , -1.052889  
 0.115 ,  4.531617 ,  4.500717 , -100.0244 , -1.075777  
 0.12 ,  4.532761 ,  4.499572 , -100.0702 , -1.052889  
 0.125 ,  4.531998 ,  4.501098 , -100.0244 , -1.075777  
 0.13 ,  4.53238 ,  4.499572 , -100.0244 , -1.075777  
 0.135 ,  4.531235 ,  4.500335 , -100.0473 , -1.098666  
