TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-20 21:39:38
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  4.563661 ,  4.613636 , -100.322 , -2.197332  
 0.005 ,  4.563661 ,  4.612872 , -100.2991 , -2.220221  
 0.01 ,  4.56328 ,  4.613636 , -100.322 , -2.220221  
 0.015 ,  4.563661 ,  4.612872 , -100.322 , -2.220221  
 0.02 ,  4.564043 ,  4.613636 , -100.3448 , -2.197332  
 0.025 ,  4.563661 ,  4.612872 , -100.3448 , -2.24311  
 0.03 ,  4.563661 ,  4.613636 , -100.3448 , -2.220221  
 0.035 ,  4.56328 ,  4.612872 , -100.3448 , -2.220221  
 0.04 ,  4.563661 ,  4.613636 , -100.3906 , -2.24311  
 4.499999E-02 ,  4.562898 ,  4.613254 , -100.3448 , -2.24311  
 4.999999E-02 ,  4.56328 ,  4.613636 , -100.3448 , -2.265999  
 5.499999E-02 ,  4.563661 ,  4.612872 , -100.3677 , -2.288888  
 5.999999E-02 ,  4.562898 ,  4.613254 , -100.322 , -2.265999  
 6.499999E-02 ,  4.56328 ,  4.612872 , -100.322 , -2.265999  
 6.999999E-02 ,  4.56328 ,  4.612491 , -100.3677 , -2.265999  
 0.075 ,  4.563661 ,  4.613636 , -100.3448 , -2.265999  
 0.08 ,  4.563661 ,  4.612491 , -100.3448 , -2.288888  
 0.085 ,  4.56328 ,  4.613636 , -100.3677 , -2.265999  
 0.09 ,  4.563661 ,  4.612872 , -100.3448 , -2.265999  
 9.500001E-02 ,  4.562517 ,  4.614398 , -100.322 , -2.311777  
 0.1 ,  4.563661 ,  4.613636 , -100.3677 , -2.311777  
 0.105 ,  4.562517 ,  4.614017 , -100.3677 , -2.357555  
 0.11 ,  4.562517 ,  4.612491 , -100.3448 , -2.311777  
 0.115 ,  4.563661 ,  4.614017 , -100.3677 , -2.288888  
 0.12 ,  4.56328 ,  4.612491 , -100.3448 , -2.288888  
 0.125 ,  4.563661 ,  4.613636 , -100.322 , -2.334666  
 0.13 ,  4.562135 ,  4.612491 , -100.322 , -2.334666  
 0.135 ,  4.563661 ,  4.613254 , -100.3448 , -2.357555  
 0.14 ,  4.56328 ,  4.612491 , -100.3448 , -2.311777  
 0.145 ,  4.562517 ,  4.613636 , -100.322 , -2.311777  
 0.15 ,  4.563661 ,  4.612872 , -100.3448 , -2.311777  
 0.155 ,  4.562517 ,  4.613254 , -100.2762 , -2.334666  
 0.16 ,  4.562517 ,  4.612491 , -100.322 , -2.357555  
 0.165 ,  4.562517 ,  4.613636 , -100.3677 , -2.357555  
 0.17 ,  4.562135 ,  4.613254 , -100.322 , -2.357555  
 0.175 ,  4.56328 ,  4.613636 , -100.2762 , -2.357555  
 0.18 ,  4.561754 ,  4.612491 , -100.3448 , -2.380444  
 0.185 ,  4.56328 ,  4.613254 , -100.2991 , -2.357555  
 0.19 ,  4.562135 ,  4.612872 , -100.2991 , -2.357555  
 0.1949999 ,  4.562135 ,  4.612491 , -100.322 , -2.357555  
 0.1999999 ,  4.562517 ,  4.612872 , -100.2991 , -2.357555  
 0.2049999 ,  4.561754 ,  4.612872 , -100.3448 , -2.380444  
