TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-03-22 16:01:04
 Time  , DY+ , F2X+ , F2Y+ 
 S  , mm , kN , kN 
0 , -36.82248 , -99.86418 ,-1.9569990499999999
0.005 , -36.82248 , -99.84129 ,-1.9787436
0.01 , -36.82248 , -99.88707 ,-1.9352545
0.015 , -36.81676 , -99.93285 ,-1.9569990499999999
0.02 , -36.82248 , -99.84129 ,-1.9569990499999999
0.025 , -36.82821 , -99.88707 ,-1.9787436
0.03 , -36.82248 , -99.88707 ,-1.9569990499999999
0.035 , -36.82248 , -99.88707 ,-1.9787436
0.04 , -36.82248 , -99.86418 ,-2.0222327
4.499999E-02 , -36.82248 , -99.86418 ,-2.0222327
4.999999E-02 , -36.82821 , -99.88707 ,-2.0222327
5.499999E-02 , -36.81676 , -99.88707 ,-2.0222327
5.999999E-02 , -36.82248 , -99.86418 ,-2.0222327
6.499999E-02 , -36.82248 , -99.88707 ,-2.0222327
6.999999E-02 , -36.81676 , -99.88707 ,-2.0222327
0.075 , -36.81676 , -99.88707 ,-2.00048815
0.08 , -36.82248 , -99.90996 ,-2.0657218
0.085 , -36.82248 , -99.88707 ,-2.0657218
0.09 , -36.82248 , -99.88707 ,-2.04397725
9.500001E-02 , -36.82248 , -99.88707 ,-2.0874653999999997
0.1 , -36.82248 , -99.88707 ,-2.0657218
0.105 , -36.82248 , -99.86418 ,-2.04397725
0.11 , -36.81676 , -99.86418 ,-2.0657218
0.115 , -36.82821 , -99.88707 ,-2.0657218
0.12 , -36.82248 , -99.90996 ,-2.10920995
0.125 , -36.82248 , -99.88707 ,-2.0657218
0.13 , -36.82821 , -99.81841 ,-2.0657218
0.135 , -36.82248 , -99.86418 ,-2.0657218
0.14 , -36.82248 , -99.88707 ,-2.04397725
0.145 , -36.81676 , -99.90996 ,-2.0874653999999997
0.15 , -36.82248 , -99.88707 ,-2.0657218
0.155 , -36.82821 , -99.86418 ,-2.0657218
0.16 , -36.82248 , -99.84129 ,-2.0222327
0.165 , -36.82248 , -99.88707 ,-2.0874653999999997
0.17 , -36.82248 , -99.88707 ,-2.0874653999999997
0.175 , -36.82248 , -99.86418 ,-2.0874653999999997
0.18 , -36.81676 , -99.88707 ,-2.1309545
0.185 , -36.81676 , -99.90996 ,-2.04397725
0.19 , -36.82821 , -99.86418 ,-2.15269905
0.1949999 , -36.82248 , -99.86418 ,-2.10920995
0.1999999 , -36.82248 , -99.86418 ,-2.1309545
0.2049999 , -36.82821 , -99.90996 ,-2.10920995
0.2099999 , -36.82248 , -99.90996 ,-2.10920995
0.2149999 , -36.82248 , -99.88707 ,-2.15269905
0.2199999 , -36.81676 , -99.88707 ,-2.15269905
0.2249999 , -36.81676 , -99.90996 ,-2.1309545
0.2299999 , -36.82248 , -99.84129 ,-2.10920995
0.2349999 , -36.82248 , -99.84129 ,-2.10920995
0.2399999 , -36.82248 , -99.86418 ,-2.10920995
0.2449999 , -36.81676 , -99.90996 ,-2.15269905
0.2499999 , -36.82248 , -99.86418 ,-2.1309545
0.2549999 , -36.82248 , -99.86418 ,-2.1744436
0.2599999 , -36.82248 , -99.90996 ,-2.10920995
0.2649999 , -36.82248 , -99.88707 ,-2.1309545
0.2699999 , -36.82248 , -99.81841 ,-2.10920995
0.2749999 , -36.82248 , -99.90996 ,-2.1961881500000002
0.2799999 , -36.83393 , -99.88707 ,-2.15269905
0.2849999 , -36.82248 , -99.86418 ,-2.1961881500000002
0.2899999 , -36.82821 , -99.86418 ,-2.1309545
0.2949999 , -36.82248 , -99.90996 ,-2.1309545
0.2999999 , -36.82248 , -99.95573 ,-2.1309545
0.3049999 , -36.81676 , -99.90996 ,-2.15269905
0.3099999 , -36.81676 , -99.90996 ,-2.1744436
0.3149998 , -36.82248 , -99.90996 ,-2.1309545
0.3199998 , -36.81676 , -99.88707 ,-2.2179327
0.3249998 , -36.82248 , -99.88707 ,-2.1309545
0.3299998 , -36.82248 , -99.90996 ,-2.1744436
0.3349998 , -36.81676 , -99.90996 ,-2.15269905
0.3399998 , -36.81676 , -99.95573 ,-2.15269905
0.3449998 , -36.81676 , -99.90996 ,-2.1961881500000002
0.3499998 , -36.81676 , -99.88707 ,-2.1744436
0.3549998 , -36.81676 , -99.88707 ,-2.1744436
0.3599998 , -36.81676 , -99.88707 ,-2.2179327
0.3649998 , -36.82248 , -99.88707 ,-2.2179327
0.3699998 , -36.81676 , -99.90996 ,-2.1744436
0.3749998 , -36.81676 , -99.86418 ,-2.1744436
0.3799998 , -36.82248 , -99.86418 ,-2.1744436
0.3849998 , -36.82248 , -99.86418 ,-2.1744436
0.3899998 , -36.82248 , -99.90996 ,-2.1961881500000002
0.3949998 , -36.81676 , -99.88707 ,-2.2179327
0.3999998 , -36.81104 , -99.88707 ,-2.23967725
0.4049998 , -36.82248 , -99.86418 ,-2.15269905
0.4099998 , -36.82248 , -99.86418 ,-2.2179327
0.4149998 , -36.81676 , -99.88707 ,-2.23967725
0.4199997 , -36.82248 , -99.88707 ,-2.2179327
0.4249997 , -36.82248 , -99.88707 ,-2.2179327
0.4299997 , -36.82248 , -99.90996 ,-2.1961881500000002
0.4349997 , -36.81104 , -99.88707 ,-2.2179327
0.4399997 , -36.82248 , -99.90996 ,-2.1744436
0.4449997 , -36.82248 , -99.90996 ,-2.1961881500000002
0.4499997 , -36.82248 , -99.90996 ,-2.2831653999999997
0.4549997 , -36.82248 , -99.88707 ,-2.2179327
0.4599997 , -36.82248 , -99.88707 ,-2.23967725
0.4649997 , -36.82248 , -99.88707 ,-2.2179327
0.4699997 , -36.82248 , -99.84129 ,-2.2179327
0.4749997 , -36.82248 , -99.86418 ,-2.1744436
0.4799997 , -36.81676 , -99.84129 ,-2.1961881500000002
0.4849997 , -36.82248 , -99.88707 ,-2.23967725
0.4899997 , -36.82821 , -99.88707 ,-2.23967725
0.4949997 , -36.82248 , -99.86418 ,-2.2831653999999997
0.4999997 , -36.82248 , -99.86418 ,-2.2831653999999997
0.5049997 , -36.81676 , -99.88707 ,-2.2614217999999995
0.5099997 , -36.82248 , -99.90996 ,-2.2614217999999995
0.5149997 , -36.82248 , -99.88707 ,-2.2831653999999997
0.5199997 , -36.81676 , -99.88707 ,-2.2614217999999995
0.5249997 , -36.82248 , -99.81841 ,-2.2614217999999995
0.5299997 , -36.81676 , -99.90996 ,-2.2831653999999997
0.5349997 , -36.82248 , -99.93285 ,-2.30490995
0.5399997 , -36.82248 , -99.88707 ,-2.2831653999999997
0.5449997 , -36.82248 , -99.90996 ,-2.23967725
0.5499997 , -36.82248 , -99.90996 ,-2.30490995
0.5549996 , -36.82248 , -99.88707 ,-2.2614217999999995
0.5599996 , -36.81676 , -99.93285 ,-2.30490995
0.5649996 , -36.82248 , -99.90996 ,-2.3266545
0.5699996 , -36.82248 , -99.90996 ,-2.23967725
0.5749996 , -36.82821 , -99.88707 ,-2.2614217999999995
0.5799996 , -36.82248 , -99.88707 ,-2.2831653999999997
0.5849996 , -36.82248 , -99.88707 ,-2.30490995
0.5899996 , -36.81104 , -99.93285 ,-2.3266545
0.5949996 , -36.81104 , -99.88707 ,-2.30490995
0.5999996 , -36.82248 , -99.88707 ,-2.3266545
0.6049996 , -36.82821 , -99.88707 ,-2.30490995
0.6099996 , -36.82248 , -99.86418 ,-2.3266545
0.6149996 , -36.82248 , -99.86418 ,-2.2614217999999995
0.6199996 , -36.81676 , -99.93285 ,-2.30490995
0.6249996 , -36.82248 , -99.86418 ,-2.2831653999999997
0.6299996 , -36.82248 , -99.88707 ,-2.2831653999999997
0.6349996 , -36.82248 , -99.88707 ,-2.3701436
