TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-15 10:55:03
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  5.046998 ,  4.473632 , -100.1617 , -1.396222  
 0.005 ,  5.046235 ,  4.474395 , -100.1388 , -1.396222  
 0.01 ,  5.048142 ,  4.474013 , -100.116 , -1.396222  
 0.015 ,  5.046998 ,  4.474013 , -100.0702 , -1.419111  
 0.02 ,  5.047379 ,  4.473632 , -100.0931 , -1.441999  
 0.025 ,  5.047379 ,  4.474776 , -100.1388 , -1.419111  
 0.03 ,  5.046998 ,  4.474013 , -100.1388 , -1.464888  
 0.035 ,  5.047761 ,  4.474776 , -100.1388 , -1.464888  
 0.04 ,  5.046235 ,  4.474013 , -100.0702 , -1.441999  
 4.499999E-02 ,  5.046998 ,  4.473632 , -100.1388 , -1.464888  
 4.999999E-02 ,  5.047379 ,  4.474395 , -100.1388 , -1.441999  
 5.499999E-02 ,  5.046617 ,  4.473632 , -100.1388 , -1.419111  
 5.999999E-02 ,  5.046998 ,  4.474395 , -100.1617 , -1.441999  
 6.499999E-02 ,  5.046235 ,  4.474013 , -100.1617 , -1.441999  
 6.999999E-02 ,  5.046998 ,  4.474776 , -100.1617 , -1.441999  
 0.075 ,  5.046998 ,  4.473632 , -100.1388 , -1.464888  
 0.08 ,  5.047379 ,  4.474776 , -100.116 , -1.510666  
 0.085 ,  5.047379 ,  4.474013 , -100.1617 , -1.441999  
 0.09 ,  5.046235 ,  4.474776 , -100.1388 , -1.487777  
 9.500001E-02 ,  5.046998 ,  4.47325 , -100.116 , -1.441999  
 0.1 ,  5.045854 ,  4.474395 , -100.1388 , -1.441999  
 0.105 ,  5.046235 ,  4.473632 , -100.116 , -1.487777  
 0.11 ,  5.046998 ,  4.474013 , -100.1388 , -1.464888  
 0.115 ,  5.046235 ,  4.473632 , -100.116 , -1.464888  
 0.12 ,  5.046617 ,  4.474395 , -100.116 , -1.487777  
 0.125 ,  5.046617 ,  4.473632 , -100.116 , -1.464888  
 0.13 ,  5.046617 ,  4.474395 , -100.116 , -1.487777  
 0.135 ,  5.045854 ,  4.473632 , -100.1388 , -1.510666  
 0.14 ,  5.045854 ,  4.474395 , -100.1388 , -1.487777  
 0.145 ,  5.047379 ,  4.47325 , -100.1388 , -1.487777  
 0.15 ,  5.045854 ,  4.474013 , -100.1617 , -1.533555  
 0.155 ,  5.046998 ,  4.473632 , -100.116 , -1.464888  
 0.16 ,  5.045854 ,  4.473632 , -100.116 , -1.464888  
 0.165 ,  5.046617 ,  4.473632 , -100.0931 , -1.487777  
 0.17 ,  5.045854 ,  4.473632 , -100.116 , -1.464888  
 0.175 ,  5.045854 ,  4.47325 , -100.1388 , -1.487777  
 0.18 ,  5.046235 ,  4.473632 , -100.1617 , -1.487777  
 0.185 ,  5.045854 ,  4.474395 , -100.1388 , -1.464888  
 0.19 ,  5.046235 ,  4.474395 , -100.1617 , -1.487777  
 0.1949999 ,  5.046617 ,  4.474013 , -100.1617 , -1.464888  
 0.1999999 ,  5.045854 ,  4.474013 , -100.1388 , -1.533555  
 0.2049999 ,  5.046235 ,  4.474013 , -100.2075 , -1.487777  
 0.2099999 ,  5.045472 ,  4.474013 , -100.116 , -1.487777  
 0.2149999 ,  5.045854 ,  4.474395 , -100.116 , -1.464888  
 0.2199999 ,  5.045854 ,  4.473632 , -100.116 , -1.510666  
 0.2249999 ,  5.045854 ,  4.474395 , -100.1388 , -1.510666  
 0.2299999 ,  5.046235 ,  4.474013 , -100.1617 , -1.487777  
 0.2349999 ,  5.045854 ,  4.475158 , -100.1388 , -1.510666  
 0.2399999 ,  5.046617 ,  4.473632 , -100.116 , -1.510666  
 0.2449999 ,  5.045472 ,  4.474395 , -100.116 , -1.487777  
 0.2499999 ,  5.046235 ,  4.473632 , -100.116 , -1.510666  
 0.2549999 ,  5.045472 ,  4.474776 , -100.116 , -1.533555  
 0.2599999 ,  5.045854 ,  4.473632 , -100.1388 , -1.464888  
 0.2649999 ,  5.046235 ,  4.474395 , -100.116 , -1.487777  
 0.2699999 ,  5.045091 ,  4.473632 , -100.1617 , -1.533555  
 0.2749999 ,  5.046235 ,  4.474013 , -100.0931 , -1.487777  
 0.2799999 ,  5.045854 ,  4.47325 , -100.116 , -1.556444  
 0.2849999 ,  5.045472 ,  4.474395 , -100.116 , -1.533555  
 0.2899999 ,  5.045854 ,  4.47325 , -100.1388 , -1.533555  
 0.2949999 ,  5.045472 ,  4.474013 , -100.1388 , -1.487777  
 0.2999999 ,  5.046235 ,  4.473632 , -100.0702 , -1.487777  
 0.3049999 ,  5.045091 ,  4.474013 , -100.1388 , -1.533555  
 0.3099999 ,  5.045472 ,  4.47325 , -100.116 , -1.510666  
 0.3149998 ,  5.045854 ,  4.474395 , -100.116 , -1.533555  
 0.3199998 ,  5.044709 ,  4.473632 , -100.1617 , -1.533555  
 0.3249998 ,  5.046235 ,  4.474013 , -100.1617 , -1.510666  
 0.3299998 ,  5.045091 ,  4.473632 , -100.116 , -1.533555  
 0.3349998 ,  5.045472 ,  4.47325 , -100.1617 , -1.510666  
 0.3399998 ,  5.045472 ,  4.474013 , -100.0931 , -1.510666  
 0.3449998 ,  5.045091 ,  4.473632 , -100.1617 , -1.510666  
 0.3499998 ,  5.045854 ,  4.474013 , -100.1388 , -1.510666  
 0.3549998 ,  5.044709 ,  4.474013 , -100.1388 , -1.556444  
 0.3599998 ,  5.045472 ,  4.474776 , -100.0931 , -1.556444  
 0.3649998 ,  5.044709 ,  4.473632 , -100.116 , -1.556444  
 0.3699998 ,  5.045854 ,  4.474776 , -100.1388 , -1.510666  
 0.3749998 ,  5.045091 ,  4.47325 , -100.1388 , -1.533555  
 0.3799998 ,  5.044709 ,  4.474776 , -100.1846 , -1.556444  
 0.3849998 ,  5.045854 ,  4.473632 , -100.1388 , -1.533555  
 0.3899998 ,  5.044328 ,  4.475539 , -100.1388 , -1.533555  
 0.3949998 ,  5.045472 ,  4.474013 , -100.1388 , -1.556444  
 0.3999998 ,  5.045091 ,  4.474013 , -100.116 , -1.533555  
 0.4049998 ,  5.044328 ,  4.473632 , -100.1617 , -1.556444  
 0.4099998 ,  5.045854 ,  4.474395 , -100.1617 , -1.533555  
 0.4149998 ,  5.044328 ,  4.47325 , -100.1388 , -1.556444  
 0.4199997 ,  5.045472 ,  4.474013 , -100.1388 , -1.556444  
 0.4249997 ,  5.045091 ,  4.472869 , -100.116 , -1.533555  
 0.4299997 ,  5.045091 ,  4.474395 , -100.2075 , -1.533555  
 0.4349997 ,  5.045854 ,  4.472869 , -100.1617 , -1.510666  
 0.4399997 ,  5.044328 ,  4.474395 , -100.1388 , -1.533555  
 0.4449997 ,  5.044328 ,  4.47325 , -100.1388 , -1.556444  
 0.4499997 ,  5.043565 ,  4.474013 , -100.1846 , -1.533555  
 0.4549997 ,  5.045091 ,  4.473632 , -100.1617 , -1.533555  
 0.4599997 ,  5.045091 ,  4.474013 , -100.1388 , -1.579333  
