TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-03-25 20:33:37
 Time  , DY+ , F2X+ , F2Y+ 
 S  , mm , kN , kN 
0 , -36.94265 , -99.70396 ,-1.460505186
0.005 , -36.93693 , -99.70396 ,-1.460505186
0.01 , -36.93693 , -99.68108 ,-1.336734
0.015 , -36.93693 , -99.70396 ,-1.4357507325
0.02 , -36.93693 , -99.68108 ,-1.4357507325
0.025 , -36.93693 , -99.72685 ,-1.460505186
0.03 , -36.93693 , -99.72685 ,-1.6337852790000003
0.035 , -36.94265 , -99.68108 ,-1.4357507325
0.04 , -36.94265 , -99.72685 ,-1.5347685465
4.499999E-02 , -36.94265 , -99.68108 ,-1.4357507325
4.999999E-02 , -36.94265 , -99.72685 ,-1.4357507325
5.499999E-02 , -36.93693 , -99.70396 ,-1.4357507325
5.999999E-02 , -36.94265 , -99.70396 ,-1.5595219185000002
6.499999E-02 , -36.93693 , -99.68108 ,-1.4357507325
6.999999E-02 , -36.93693 , -99.68108 ,-1.4357507325
0.075 , -36.94265 , -99.70396 ,-1.3614873720000003
0.08 , -36.93693 , -99.68108 ,-1.336734
0.085 , -36.94265 , -99.70396 ,-1.460505186
0.09 , -36.94265 , -99.6353 ,-1.460505186
9.500001E-02 , -36.93693 , -99.68108 ,-1.460505186
0.1 , -36.94265 , -99.65819 ,-1.6337852790000003
0.105 , -36.93693 , -99.6353 ,-1.5347685465
0.11 , -36.94265 , -99.6353 ,-1.6090308255
0.115 , -36.93693 , -99.6353 ,-1.5842763720000002
0.12 , -36.94265 , -99.6353 ,-1.5842763720000002
0.125 , -36.93693 , -99.65819 ,-1.5595219185000002
0.13 , -36.94265 , -99.65819 ,-1.6585397325000002
0.135 , -36.93693 , -99.6353 ,-1.5595219185000002
0.14 , -36.94265 , -99.6353 ,-1.5100140930000001
0.145 , -36.93693 , -99.6353 ,-1.5347685465
0.15 , -36.93693 , -99.6353 ,-1.3614873720000003
0.155 , -36.93693 , -99.61241 ,-1.4357507325
0.16 , -36.94837 , -99.6353 ,-1.6337852790000003
0.165 , -36.94837 , -99.65819 ,-1.5100140930000001
0.17 , -36.94265 , -99.68108 ,-1.460505186
0.175 , -36.93693 , -99.6353 ,-1.4852596395
0.18 , -36.94265 , -99.6353 ,-1.4357507325
0.185 , -36.94265 , -99.68108 ,-1.5100140930000001
0.19 , -36.93693 , -99.6353 ,-1.5595219185000002
0.1949999 , -36.93693 , -99.6353 ,-1.5347685465
0.1999999 , -36.94265 , -99.65819 ,-1.6585397325000002
0.2049999 , -36.94265 , -99.65819 ,-1.5347685465
0.2099999 , -36.94265 , -99.6353 ,-1.5842763720000002
0.2149999 , -36.94265 , -99.6353 ,-1.5595219185000002
0.2199999 , -36.94265 , -99.6353 ,-1.5347685465
0.2249999 , -36.93693 , -99.65819 ,-1.7080486395000003
0.2299999 , -36.94837 , -99.65819 ,-1.5595219185000002
0.2349999 , -36.94265 , -99.61241 ,-1.6832941860000001
0.2399999 , -36.94265 , -99.61241 ,-1.5595219185000002
0.2449999 , -36.93693 , -99.65819 ,-1.460505186
0.2499999 , -36.94265 , -99.6353 ,-1.6090308255
