TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-13 15:21:55
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  4.335154 ,  4.334391 , -99.93285 , -1.121555  
 0.005 ,  4.335917 ,  4.335154 , -100.0015 , -1.121555  
 0.01 ,  4.335154 ,  4.334773 , -99.95573 , -1.121555  
 0.015 ,  4.335917 ,  4.335536 , -99.93285 , -1.098666  
 0.02 ,  4.335917 ,  4.334773 , -99.97862 , -1.121555  
 0.025 ,  4.336298 ,  4.335154 , -99.93285 , -1.098666  
 0.03 ,  4.335917 ,  4.334391 , -100.0244 , -1.075777  
 0.035 ,  4.335917 ,  4.335536 , -99.95573 , -1.075777  
 0.04 ,  4.337061 ,  4.334773 , -99.95573 , -1.121555  
 4.499999E-02 ,  4.335917 ,  4.335154 , -99.97862 , -1.075777  
 4.999999E-02 ,  4.335917 ,  4.334773 , -99.95573 , -1.098666  
 5.499999E-02 ,  4.335536 ,  4.335154 , -99.93285 , -1.052889  
 5.999999E-02 ,  4.335154 ,  4.334773 , -99.97862 , -1.075777  
 6.499999E-02 ,  4.335917 ,  4.335536 , -99.97862 , -1.098666  
 6.999999E-02 ,  4.335917 ,  4.334773 , -99.90996 , -1.075777  
 0.075 ,  4.335536 ,  4.335536 , -99.93285 , -1.098666  
 0.08 ,  4.335917 ,  4.334773 , -99.95573 , -1.098666  
 0.085 ,  4.335536 ,  4.335154 , -100.0015 , -1.121555  
 0.09 ,  4.335917 ,  4.334773 , -99.95573 , -1.098666  
 9.500001E-02 ,  4.335536 ,  4.334773 , -100.0015 , -1.121555  
 0.1 ,  4.335536 ,  4.335154 , -99.93285 , -1.121555  
 0.105 ,  4.335917 ,  4.335154 , -99.95573 , -1.098666  
 0.11 ,  4.335536 ,  4.335154 , -99.95573 , -1.075777  
 0.115 ,  4.335536 ,  4.334391 , -99.97862 , -1.121555  
 0.12 ,  4.335154 ,  4.334773 , -99.97862 , -1.098666  
 0.125 ,  4.335917 ,  4.334391 , -99.93285 , -1.144444  
 0.13 ,  4.335917 ,  4.335154 , -99.95573 , -1.121555  
 0.135 ,  4.335917 ,  4.335154 , -99.95573 , -1.075777  
 0.14 ,  4.336298 ,  4.335154 , -99.93285 , -1.121555  
 0.145 ,  4.335917 ,  4.335536 , -99.95573 , -1.098666  
 0.15 ,  4.335536 ,  4.335154 , -99.90996 , -1.098666  
 0.155 ,  4.336298 ,  4.335154 , -99.93285 , -1.098666  
 0.16 ,  4.335536 ,  4.334773 , -99.95573 , -1.098666  
 0.165 ,  4.335917 ,  4.334773 , -99.93285 , -1.098666  
 0.17 ,  4.335536 ,  4.334773 , -99.93285 , -1.098666  
 0.175 ,  4.335536 ,  4.335154 , -99.90996 , -1.098666  
 0.18 ,  4.336298 ,  4.335536 , -99.93285 , -1.167333  
 0.185 ,  4.334773 ,  4.334391 , -99.95573 , -1.075777  
 0.19 ,  4.336298 ,  4.335154 , -100.0015 , -1.098666  
 0.1949999 ,  4.335536 ,  4.335154 , -99.90996 , -1.052889  
 0.1999999 ,  4.335536 ,  4.334773 , -100.0015 , -1.121555  
 0.2049999 ,  4.335917 ,  4.335154 , -99.95573 , -1.121555  
 0.2099999 ,  4.335917 ,  4.335536 , -99.93285 , -1.075777  
 0.2149999 ,  4.335917 ,  4.334391 , -99.97862 , -1.121555  
 0.2199999 ,  4.335917 ,  4.335154 , -99.95573 , -1.098666  
 0.2249999 ,  4.335917 ,  4.334773 , -100.0015 , -1.121555  
 0.2299999 ,  4.335917 ,  4.335154 , -99.90996 , -1.121555  
 0.2349999 ,  4.334773 ,  4.33401 , -100.0015 , -1.121555  
 0.2399999 ,  4.335917 ,  4.335154 , -99.95573 , -1.075777  
 0.2449999 ,  4.335536 ,  4.33401 , -99.93285 , -1.098666  
 0.2499999 ,  4.335917 ,  4.335154 , -99.97862 , -1.121555  
 0.2549999 ,  4.335536 ,  4.334773 , -99.95573 , -1.121555  
 0.2599999 ,  4.335536 ,  4.335536 , -99.95573 , -1.121555  
 0.2649999 ,  4.335917 ,  4.334773 , -100.0015 , -1.098666  
 0.2699999 ,  4.335154 ,  4.335536 , -99.95573 , -1.098666  
 0.2749999 ,  4.335536 ,  4.334773 , -99.97862 , -1.121555  
 0.2799999 ,  4.335536 ,  4.335536 , -100.0015 , -1.098666  
 0.2849999 ,  4.335536 ,  4.33401 , -99.95573 , -1.098666  
 0.2899999 ,  4.335917 ,  4.335917 , -99.97862 , -1.121555  
 0.2949999 ,  4.335536 ,  4.334391 , -99.95573 , -1.121555  
 0.2999999 ,  4.335154 ,  4.336298 , -99.88707 , -1.098666  
 0.3049999 ,  4.335917 ,  4.334773 , -100.0015 , -1.098666  
 0.3099999 ,  4.335154 ,  4.335536 , -99.95573 , -1.075777  
 0.3149998 ,  4.335917 ,  4.334391 , -99.95573 , -1.121555  
 0.3199998 ,  4.335536 ,  4.335917 , -99.95573 , -1.075777  
 0.3249998 ,  4.335917 ,  4.334391 , -99.88707 , -1.075777  
 0.3299998 ,  4.335536 ,  4.335536 , -99.95573 , -1.098666  
 0.3349998 ,  4.334773 ,  4.334773 , -99.95573 , -1.098666  
 0.3399998 ,  4.335536 ,  4.335536 , -99.95573 , -1.075777  
 0.3449998 ,  4.335536 ,  4.334773 , -99.95573 , -1.121555  
 0.3499998 ,  4.335536 ,  4.335917 , -99.97862 , -1.121555  
 0.3549998 ,  4.336298 ,  4.334773 , -100.0015 , -1.098666  
 0.3599998 ,  4.335154 ,  4.335917 , -99.93285 , -1.121555  
 0.3649998 ,  4.335917 ,  4.334773 , -100.0702 , -1.098666  
 0.3699998 ,  4.335154 ,  4.335536 , -99.97862 , -1.098666  
 0.3749998 ,  4.335536 ,  4.334391 , -99.95573 , -1.098666  
 0.3799998 ,  4.336298 ,  4.335917 , -99.95573 , -1.098666  
 0.3849998 ,  4.335154 ,  4.334773 , -100.0244 , -1.098666  
 0.3899998 ,  4.335917 ,  4.335154 , -100.0244 , -1.121555  
 0.3949998 ,  4.335917 ,  4.334391 , -99.93285 , -1.075777  
 0.3999998 ,  4.335154 ,  4.335154 , -99.93285 , -1.121555  
 0.4049998 ,  4.335917 ,  4.33401 , -99.93285 , -1.121555  
 0.4099998 ,  4.335154 ,  4.335536 , -100.0015 , -1.075777  
 0.4149998 ,  4.335154 ,  4.334773 , -99.95573 , -1.075777  
 0.4199997 ,  4.335536 ,  4.335154 , -99.97862 , -1.075777  
 0.4249997 ,  4.335154 ,  4.334773 , -100.0015 , -1.098666  
 0.4299997 ,  4.335154 ,  4.335154 , -100.0244 , -1.121555  
 0.4349997 ,  4.335154 ,  4.334773 , -99.97862 , -1.098666  
 0.4399997 ,  4.335154 ,  4.335536 , -99.95573 , -1.098666  
 0.4449997 ,  4.335917 ,  4.334391 , -99.97862 , -1.121555  
 0.4499997 ,  4.335917 ,  4.335154 , -99.97862 , -1.098666  
 0.4549997 ,  4.336298 ,  4.334391 , -99.95573 , -1.098666  
 0.4599997 ,  4.335536 ,  4.335536 , -100.0244 , -1.121555  
 0.4649997 ,  4.335917 ,  4.334773 , -99.95573 , -1.121555  
