TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-12 21:16:23
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  4.272973 ,  4.227576 , -99.95573 , -2.769554  
 0.005 ,  4.273354 ,  4.228721 , -99.95573 , -2.746666  
 0.01 ,  4.272973 ,  4.227958 , -99.95573 , -2.746666  
 0.015 ,  4.273354 ,  4.228339 , -99.97862 , -2.746666  
 0.02 ,  4.272973 ,  4.227958 , -99.97862 , -2.746666  
 0.025 ,  4.272973 ,  4.228339 , -99.95573 , -2.792443  
 0.03 ,  4.273354 ,  4.228339 , -99.95573 , -2.815332  
 0.035 ,  4.27221 ,  4.227958 , -99.95573 , -2.815332  
 0.04 ,  4.273354 ,  4.228339 , -100.0015 , -2.769554  
 4.499999E-02 ,  4.27221 ,  4.227958 , -99.97862 , -2.838221  
 4.999999E-02 ,  4.272973 ,  4.227958 , -100.0015 , -2.815332  
 5.499999E-02 ,  4.27221 ,  4.227576 , -99.93285 , -2.838221  
 5.999999E-02 ,  4.272591 ,  4.228339 , -99.95573 , -2.815332  
 6.499999E-02 ,  4.273354 ,  4.227958 , -99.97862 , -2.792443  
 6.999999E-02 ,  4.272591 ,  4.228339 , -99.95573 , -2.769554  
 0.075 ,  4.272973 ,  4.227958 , -99.95573 , -2.815332  
 0.08 ,  4.27221 ,  4.228721 , -99.95573 , -2.792443  
 0.085 ,  4.27221 ,  4.227958 , -99.97862 , -2.815332  
 0.09 ,  4.273354 ,  4.228339 , -99.97862 , -2.792443  
 9.500001E-02 ,  4.27221 ,  4.227576 , -99.88707 , -2.838221  
 0.1 ,  4.272973 ,  4.228721 , -99.95573 , -2.815332  
 0.105 ,  4.271828 ,  4.227195 , -99.95573 , -2.792443  
 0.11 ,  4.272591 ,  4.229102 , -99.97862 , -2.815332  
 0.115 ,  4.272591 ,  4.227958 , -99.95573 , -2.792443  
 0.12 ,  4.27221 ,  4.228339 , -99.97862 , -2.815332  
 0.125 ,  4.272973 ,  4.227195 , -99.95573 , -2.815332  
 0.13 ,  4.27221 ,  4.228721 , -99.95573 , -2.838221  
 0.135 ,  4.272973 ,  4.227576 , -99.95573 , -2.815332  
 0.14 ,  4.273354 ,  4.227958 , -100.0015 , -2.815332  
 0.145 ,  4.273354 ,  4.227576 , -99.95573 , -2.838221  
 0.15 ,  4.27221 ,  4.228339 , -99.97862 , -2.815332  
 0.155 ,  4.27221 ,  4.227576 , -99.97862 , -2.838221  
 0.16 ,  4.272973 ,  4.227958 , -99.95573 , -2.86111  
