TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-03-21 16:00:27
 Time  , DY+ , D2Y+ , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
0 ,-39.669404400000005,  4.896313 , -99.88707 ,-1.5558214224
0.005 ,-39.669404400000005,  4.896313 , -99.86418 ,-1.5787012668
0.01 ,-39.675582,  4.897076 , -99.86418 ,-1.5787012668
0.015 ,-39.669404400000005,  4.895932 , -99.84129 ,-1.5787012668
0.02 ,-39.675582,  4.896313 , -99.88707 ,-1.5787012668
0.025 ,-39.675582,  4.896695 , -99.90996 ,-1.5787012668
0.03 ,-39.675582,  4.896313 , -99.86418 ,-1.5558214224
0.035 ,-39.675582,  4.897076 , -99.86418 ,-1.5558214224
0.04 ,-39.669404400000005,  4.896313 , -99.88707 ,-1.5787012668
4.499999E-02 ,-39.675582,  4.896313 , -99.90996 ,-1.5787012668
4.999999E-02 ,-39.669404400000005,  4.896313 , -99.88707 ,-1.5558214224
5.499999E-02 ,-39.669404400000005,  4.896313 , -99.84129 ,-1.5558214224
5.999999E-02 ,-39.669404400000005,  4.897076 , -99.88707 ,-1.6015811112
6.499999E-02 ,-39.669404400000005,  4.895932 , -99.86418 ,-1.5558214224
6.999999E-02 ,-39.68175960000001,  4.897076 , -99.86418 ,-1.5787012668
0.075 ,-39.669404400000005,  4.896313 , -99.84129 ,-1.5558214224
0.08 ,-39.669404400000005,  4.896695 , -99.86418 ,-1.5787012668
0.085 ,-39.675582,  4.896313 , -99.86418 ,-1.5787012668
0.09 ,-39.669404400000005,  4.89555 , -99.86418 ,-1.5787012668
9.500001E-02 ,-39.669404400000005,  4.896695 , -99.88707 ,-1.5558214224
0.1 ,-39.675582,  4.89555 , -99.86418 ,-1.6015811112
0.105 ,-39.675582,  4.896695 , -99.88707 ,-1.5787012668
0.11 ,-39.675582,  4.895932 , -99.90996 ,-1.5787012668
0.115 ,-39.675582,  4.896313 , -99.86418 ,-1.6015811112
0.12 ,-39.675582,  4.896313 , -99.88707 ,-1.5787012668
0.125 ,-39.669404400000005,  4.895932 , -99.86418 ,-1.6244609556
0.13 ,-39.675582,  4.896313 , -99.90996 ,-1.5787012668
0.135 ,-39.675582,  4.895932 , -99.84129 ,-1.6244609556
0.14 ,-39.675582,  4.896695 , -99.84129 ,-1.6244609556
0.145 ,-39.675582,  4.896313 , -99.84129 ,-1.6015811112
0.15 ,-39.669404400000005,  4.895932 , -99.86418 ,-1.6473398004
0.155 ,-39.675582,  4.896695 , -99.88707 ,-1.6015811112
0.16 ,-39.675582,  4.89555 , -99.88707 ,-1.6244609556
0.165 ,-39.675582,  4.896313 , -99.86418 ,-1.5787012668
0.17 ,-39.669404400000005,  4.895932 , -99.86418 ,-1.5787012668
0.175 ,-39.675582,  4.89555 , -99.88707 ,-1.6244609556
0.18 ,-39.669404400000005,  4.896313 , -99.88707 ,-1.6702196448
