TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-12-10 16:35:30
 Time  , DY+ , D2Y+ , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
0 , -36.86826 ,  4.755547 , -99.88707 ,-2.8675188000000005
0.005 , -36.86254 ,  4.755165 , -99.93285 ,-2.91695904
0.01 , -36.86254 ,  4.755928 , -99.93285 ,-2.89223892
0.015 , -36.85682 ,  4.754402 , -99.95573 ,-2.89223892
0.02 , -36.86254 ,  4.755547 , -99.88707 ,-2.89223892
0.025 , -36.85682 ,  4.755165 , -99.90996 ,-2.91695904
0.03 , -36.85682 ,  4.755165 , -99.86418 ,-2.89223892
0.035 , -36.85682 ,  4.755165 , -99.88707 ,-2.91695904
0.04 , -36.86826 ,  4.754402 , -99.90996 ,-2.91695904
4.499999E-02 , -36.85682 ,  4.755928 , -99.90996 ,-2.89223892
4.999999E-02 , -36.86254 ,  4.755165 , -99.93285 ,-2.89223892
5.499999E-02 , -36.86826 ,  4.755165 , -99.90996 ,-2.9416791600000005
5.999999E-02 , -36.85682 ,  4.755165 , -99.93285 ,-2.9416791600000005
6.499999E-02 , -36.86826 ,  4.754402 , -99.90996 ,-2.91695904
6.999999E-02 , -36.86826 ,  4.755165 , -99.88707 ,-2.9416791600000005
0.075 , -36.86826 ,  4.754402 , -99.93285 ,-2.9416791600000005
0.08 , -36.86826 ,  4.755165 , -99.88707 ,-2.9416791600000005
0.085 , -36.86254 ,  4.754402 , -99.90996 ,-2.91695904
0.09 , -36.86254 ,  4.754402 , -99.86418 ,-2.9416791600000005
9.500001E-02 , -36.86826 ,  4.754402 , -99.90996 ,-2.89223892
0.1 , -36.85682 ,  4.75402 , -99.90996 ,-2.91695904
0.105 , -36.85682 ,  4.754402 , -99.93285 ,-2.89223892
0.11 , -36.86826 ,  4.754402 , -99.90996 ,-2.89223892
0.115 , -36.86254 ,  4.754402 , -99.88707 ,-2.91695904
0.12 , -36.87399 ,  4.754784 , -99.88707 ,-2.91695904
0.125 , -36.86254 ,  4.75402 , -99.93285 ,-2.89223892
0.13 , -36.85682 ,  4.754784 , -99.88707 ,-2.9416791600000005
