TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-03-23 16:35:30
 Time  , DY+ , D2Y+ , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
0 ,-42.398498999999994,  4.755547 , -99.88707 ,-2.8506588515
0.005 ,-42.391920999999996,  4.755165 , -99.93285 ,-2.8998084012
0.01 ,-42.391920999999996,  4.755928 , -99.93285 ,-2.87523362635
0.015 ,-42.385343,  4.754402 , -99.95573 ,-2.87523362635
0.02 ,-42.391920999999996,  4.755547 , -99.88707 ,-2.87523362635
0.025 ,-42.385343,  4.755165 , -99.90996 ,-2.8998084012
0.03 ,-42.385343,  4.755165 , -99.86418 ,-2.87523362635
0.035 ,-42.385343,  4.755165 , -99.88707 ,-2.8998084012
0.04 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.8998084012
4.499999E-02 ,-42.385343,  4.755928 , -99.90996 ,-2.87523362635
4.999999E-02 ,-42.391920999999996,  4.755165 , -99.93285 ,-2.87523362635
5.499999E-02 ,-42.398498999999994,  4.755165 , -99.90996 ,-2.92438317605
5.999999E-02 ,-42.385343,  4.755165 , -99.93285 ,-2.92438317605
6.499999E-02 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.8998084012
6.999999E-02 ,-42.398498999999994,  4.755165 , -99.88707 ,-2.92438317605
0.075 ,-42.398498999999994,  4.754402 , -99.93285 ,-2.92438317605
0.08 ,-42.398498999999994,  4.755165 , -99.88707 ,-2.92438317605
0.085 ,-42.391920999999996,  4.754402 , -99.90996 ,-2.8998084012
0.09 ,-42.391920999999996,  4.754402 , -99.86418 ,-2.92438317605
9.500001E-02 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.87523362635
0.1 ,-42.385343,  4.75402 , -99.90996 ,-2.8998084012
0.105 ,-42.385343,  4.754402 , -99.93285 ,-2.87523362635
0.11 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.87523362635
0.115 ,-42.391920999999996,  4.754402 , -99.88707 ,-2.8998084012
0.12 ,-42.4050885,  4.754784 , -99.88707 ,-2.8998084012
0.125 ,-42.391920999999996,  4.75402 , -99.93285 ,-2.87523362635
0.13 ,-42.385343,  4.754784 , -99.88707 ,-2.92438317605
0.135 ,-42.398498999999994,  4.75402 , -99.93285 ,-2.8998084012
0.14 ,-42.398498999999994,  4.755928 , -99.86418 ,-2.92438317605
0.145 ,-42.391920999999996,  4.75402 , -99.86418 ,-2.92438317605
0.15 ,-42.391920999999996,  4.754402 , -99.93285 ,-2.9489579509
0.155 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.92438317605
0.16 ,-42.398498999999994,  4.754402 , -99.93285 ,-2.9489579509
0.165 ,-42.385343,  4.755165 , -99.93285 ,-2.9489579509
0.17 ,-42.398498999999994,  4.754402 , -99.95573 ,-2.92438317605
0.175 ,-42.398498999999994,  4.755165 , -99.90996 ,-2.8998084012
0.18 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.9489579509
0.185 ,-42.391920999999996,  4.75402 , -99.86418 ,-2.92438317605
0.19 ,-42.391920999999996,  4.754402 , -99.86418 ,-2.92438317605
0.1949999 ,-42.391920999999996,  4.75402 , -99.90996 ,-2.92438317605
0.1999999 ,-42.391920999999996,  4.755165 , -99.90996 ,-2.92438317605
0.2049999 ,-42.398498999999994,  4.754402 , -99.84129 ,-2.92438317605
0.2099999 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.92438317605
0.2149999 ,-42.391920999999996,  4.754402 , -99.86418 ,-2.92438317605
0.2199999 ,-42.398498999999994,  4.75402 , -99.88707 ,-2.8998084012
0.2249999 ,-42.391920999999996,  4.754784 , -99.84129 ,-2.99810642695
0.2299999 ,-42.391920999999996,  4.75402 , -99.90996 ,-2.9735316520999997
0.2349999 ,-42.391920999999996,  4.754402 , -99.86418 ,-2.9735316520999997
0.2399999 ,-42.398498999999994,  4.75402 , -99.84129 ,-2.9735316520999997
0.2449999 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.99810642695
0.2499999 ,-42.391920999999996,  4.754402 , -99.93285 ,-2.9735316520999997
0.2549999 ,-42.391920999999996,  4.754402 , -99.88707 ,-2.99810642695
0.2599999 ,-42.398498999999994,  4.754402 , -99.86418 ,-2.9735316520999997
0.2649999 ,-42.385343,  4.753639 , -99.93285 ,-2.9489579509
0.2699999 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.9735316520999997
0.2749999 ,-42.398498999999994,  4.754402 , -99.88707 ,-2.9489579509
0.2799999 ,-42.398498999999994,  4.75402 , -99.88707 ,-2.99810642695
0.2849999 ,-42.398498999999994,  4.754402 , -99.90996 ,-2.9735316520999997
0.2899999 ,-42.398498999999994,  4.753639 , -99.90996 ,-2.99810642695
0.2949999 ,-42.398498999999994,  4.754402 , -99.93285 ,-2.9735316520999997
0.2999999 ,-42.391920999999996,  4.75402 , -99.88707 ,-2.99810642695
0.3049999 ,-42.391920999999996,  4.75402 , -99.93285 ,-3.0226812018
0.3099999 ,-42.391920999999996,  4.75402 , -99.84129 ,-2.99810642695
0.3149998 ,-42.391920999999996,  4.752876 , -99.90996 ,-2.9735316520999997
0.3199998 ,-42.398498999999994,  4.754402 , -99.90996 ,-3.0718307515000003
0.3249998 ,-42.391920999999996,  4.752876 , -99.86418 ,-3.0226812018
0.3299998 ,-42.385343,  4.75402 , -99.84129 ,-3.0226812018
0.3349998 ,-42.398498999999994,  4.75402 , -99.84129 ,-3.0226812018
0.3399998 ,-42.398498999999994,  4.753257 , -99.88707 ,-3.0718307515000003
0.3449998 ,-42.391920999999996,  4.75402 , -99.88707 ,-2.99810642695
0.3499998 ,-42.391920999999996,  4.753639 , -99.88707 ,-2.99810642695
0.3549998 ,-42.398498999999994,  4.754402 , -99.90996 ,-3.0718307515000003
0.3599998 ,-42.391920999999996,  4.752494 , -99.93285 ,-3.0718307515000003
0.3649998 ,-42.398498999999994,  4.753257 , -99.93285 ,-3.0226812018
0.3699998 ,-42.398498999999994,  4.75402 , -99.86418 ,-3.0718307515000003
0.3749998 ,-42.385343,  4.752876 , -99.90996 ,-3.0472559766500003
0.3799998 ,-42.398498999999994,  4.75402 , -99.95573 ,-3.0472559766500003
0.3849998 ,-42.398498999999994,  4.753257 , -99.93285 ,-3.0226812018
0.3899998 ,-42.398498999999994,  4.753257 , -99.90996 ,-3.0718307515000003
0.3949998 ,-42.398498999999994,  4.752876 , -99.88707 ,-3.0964055263500003
0.3999998 ,-42.398498999999994,  4.752876 , -99.84129 ,-3.0472559766500003
0.4049998 ,-42.398498999999994,  4.75402 , -99.90996 ,-3.0718307515000003
0.4099998 ,-42.4050885,  4.752876 , -99.93285 ,-3.0718307515000003
0.4149998 ,-42.398498999999994,  4.753639 , -99.88707 ,-3.0718307515000003
0.4199997 ,-42.385343,  4.753257 , -99.93285 ,-3.0226812018
0.4249997 ,-42.391920999999996,  4.753639 , -99.88707 ,-3.0472559766500003
0.4299997 ,-42.398498999999994,  4.753257 , -99.86418 ,-3.0718307515000003
0.4349997 ,-42.398498999999994,  4.752876 , -99.90996 ,-3.0964055263500003
0.4399997 ,-42.391920999999996,  4.753257 , -99.93285 ,-3.0718307515000003
0.4449997 ,-42.391920999999996,  4.752876 , -99.88707 ,-3.0964055263500003
0.4499997 ,-42.398498999999994,  4.75402 , -99.90996 ,-3.0718307515000003
0.4549997 ,-42.398498999999994,  4.752494 , -99.90996 ,-3.0964055263500003
0.4599997 ,-42.4050885,  4.752876 , -99.88707 ,-3.0718307515000003
0.4649997 ,-42.398498999999994,  4.752876 , -99.90996 ,-3.1209803012000004
0.4699997 ,-42.4050885,  4.752494 , -99.88707 ,-3.0718307515000003
0.4749997 ,-42.398498999999994,  4.752876 , -99.90996 ,-3.1455550760500004
0.4799997 ,-42.398498999999994,  4.752494 , -99.90996 ,-3.0964055263500003
0.4849997 ,-42.391920999999996,  4.753257 , -99.95573 ,-3.1209803012000004
0.4899997 ,-42.4050885,  4.752876 , -99.88707 ,-3.0964055263500003
0.4949997 ,-42.391920999999996,  4.752876 , -99.88707 ,-3.1209803012000004
0.4999997 ,-42.398498999999994,  4.753639 , -99.88707 ,-3.1209803012000004
0.5049997 ,-42.398498999999994,  4.752494 , -99.95573 ,-3.1209803012000004
0.5099997 ,-42.398498999999994,  4.752876 , -99.90996 ,-3.0964055263500003
0.5149997 ,-42.391920999999996,  4.752113 , -99.88707 ,-3.1455550760500004
0.5199997 ,-42.398498999999994,  4.752876 , -99.90996 ,-3.1209803012000004
0.5249997 ,-42.398498999999994,  4.752876 , -99.88707 ,-3.0964055263500003
0.5299997 ,-42.398498999999994,  4.752113 , -99.90996 ,-3.1209803012000004
0.5349997 ,-42.398498999999994,  4.753257 , -99.86418 ,-3.0964055263500003
0.5399997 ,-42.398498999999994,  4.751731 , -99.90996 ,-3.1455550760500004
0.5449997 ,-42.398498999999994,  4.752876 , -99.88707 ,-3.0964055263500003
