TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-12-10 16:00:27
 Time  , DY+ , D2Y+ , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 , -36.73093 ,  4.896313 , -99.88707 , -1.556444  
 0.005 , -36.73093 ,  4.896313 , -99.86418 , -1.579333  
 0.01 , -36.73665 ,  4.897076 , -99.86418 , -1.579333  
 0.015 , -36.73093 ,  4.895932 , -99.84129 , -1.579333  
 0.02 , -36.73665 ,  4.896313 , -99.88707 , -1.579333  
 0.025 , -36.73665 ,  4.896695 , -99.90996 , -1.579333  
 0.03 , -36.73665 ,  4.896313 , -99.86418 , -1.556444  
 0.035 , -36.73665 ,  4.897076 , -99.86418 , -1.556444  
 0.04 , -36.73093 ,  4.896313 , -99.88707 , -1.579333  
 4.499999E-02 , -36.73665 ,  4.896313 , -99.90996 , -1.579333  
 4.999999E-02 , -36.73093 ,  4.896313 , -99.88707 , -1.556444  
 5.499999E-02 , -36.73093 ,  4.896313 , -99.84129 , -1.556444  
 5.999999E-02 , -36.73093 ,  4.897076 , -99.88707 , -1.602222  
 6.499999E-02 , -36.73093 ,  4.895932 , -99.86418 , -1.556444  
 6.999999E-02 , -36.74237 ,  4.897076 , -99.86418 , -1.579333  
 0.075 , -36.73093 ,  4.896313 , -99.84129 , -1.556444  
 0.08 , -36.73093 ,  4.896695 , -99.86418 , -1.579333  
 0.085 , -36.73665 ,  4.896313 , -99.86418 , -1.579333  
 0.09 , -36.73093 ,  4.89555 , -99.86418 , -1.579333  
 9.500001E-02 , -36.73093 ,  4.896695 , -99.88707 , -1.556444  
 0.1 , -36.73665 ,  4.89555 , -99.86418 , -1.602222  
 0.105 , -36.73665 ,  4.896695 , -99.88707 , -1.579333  
 0.11 , -36.73665 ,  4.895932 , -99.90996 , -1.579333  
 0.115 , -36.73665 ,  4.896313 , -99.86418 , -1.602222  
 0.12 , -36.73665 ,  4.896313 , -99.88707 , -1.579333  
 0.125 , -36.73093 ,  4.895932 , -99.86418 , -1.625111  
 0.13 , -36.73665 ,  4.896313 , -99.90996 , -1.579333  
 0.135 , -36.73665 ,  4.895932 , -99.84129 , -1.625111  
 0.14 , -36.73665 ,  4.896695 , -99.84129 , -1.625111  
 0.145 , -36.73665 ,  4.896313 , -99.84129 , -1.602222  
 0.15 , -36.73093 ,  4.895932 , -99.86418 , -1.647999  
