TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-03-24 20:48:44
 Time  , DY+ , F2X+ , F2Y+ 
 S  , mm , kN , kN 
0 , -36.92548 , -100.0473 ,-1.0815000000000001
0.005 , -36.92548 , -100.0015 ,-1.2737665500000002
0.01 , -36.92548 , -100.0473 ,-1.1776327500000001
0.015 , -36.92548 , -100.0244 ,-1.2737665500000002
0.02 , -36.92548 , -100.0702 ,-1.34586585
0.025 , -36.92548 , -100.0244 ,-1.2737665500000002
0.03 , -36.93121 , -100.0702 ,-1.0815000000000001
0.035 , -36.93121 , -100.0473 ,-1.12956585
0.04 , -36.91976 , -100.0244 ,-1.2737665500000002
4.499999E-02 , -36.92548 , -100.0015 ,-1.2978
4.999999E-02 , -36.92548 , -100.0244 ,-1.2497331
5.499999E-02 , -36.92548 , -100.0473 ,-1.2497331
5.999999E-02 , -36.93121 , -100.0702 ,-1.1535993
6.499999E-02 , -36.92548 , -100.0244 ,-1.12956585
6.999999E-02 , -36.92548 , -100.0244 ,-1.2737665500000002
0.075 , -36.91976 , -100.0244 ,-1.22569965
0.08 , -36.93121 , -100.0244 ,-1.03343289
0.085 , -36.92548 , -100.0244 ,-1.1535993
0.09 , -36.93121 , -100.0015 ,-1.2737665500000002
9.500001E-02 , -36.93121 , -100.0015 ,-1.22569965
0.1 , -36.92548 , -100.0244 ,-1.2497331
0.105 , -36.92548 , -100.0244 ,-1.1535993
0.11 , -36.92548 , -100.0244 ,-1.3218324000000001
0.115 , -36.93121 , -100.0473 ,-1.2978
0.12 , -36.91976 , -100.0244 ,-1.2497331
0.125 , -36.92548 , -100.0015 ,-1.10553345
0.13 , -36.92548 , -100.0244 ,-1.3218324000000001
0.135 , -36.92548 , -100.0244 ,-1.2497331
0.14 , -36.92548 , -100.0702 ,-1.3218324000000001
0.145 , -36.92548 , -100.0244 ,-1.2497331
0.15 , -36.93121 , -100.0473 ,-1.1776327500000001
0.155 , -36.92548 , -100.0244 ,-1.22569965
0.16 , -36.92548 , -100.0244 ,-1.12956585
0.165 , -36.93121 , -100.0244 ,-1.2737665500000002
0.17 , -36.93121 , -100.0244 ,-1.12956585
0.175 , -36.93121 , -100.0015 ,-1.3218324000000001
0.18 , -36.93121 , -100.0244 ,-1.2016662
0.185 , -36.91976 , -100.0244 ,-1.22569965
0.19 , -36.93121 , -100.0244 ,-1.2978
0.1949999 , -36.92548 , -100.0244 ,-1.3218324000000001
0.1999999 , -36.92548 , -100.0244 ,-1.2016662
0.2049999 , -36.93121 , -100.0702 ,-1.2978
0.2099999 , -36.92548 , -100.0702 ,-1.22569965
0.2149999 , -36.92548 , -100.0015 ,-1.2497331
0.2199999 , -36.93121 , -100.0473 ,-1.4660331000000002
0.2249999 , -36.92548 , -100.0244 ,-1.4179662
0.2299999 , -36.91976 , -100.0931 ,-1.2978
0.2349999 , -36.92548 , -100.0473 ,-1.2978
0.2399999 , -36.93121 , -100.0015 ,-1.56216585
0.2449999 , -36.92548 , -100.0244 ,-1.39393275
0.2499999 , -36.93121 , -100.0244 ,-1.3218324000000001
0.2549999 , -36.92548 , -100.0244 ,-1.4179662
0.2599999 , -36.92548 , -100.0473 ,-1.12956585
0.2649999 , -36.92548 , -100.0015 ,-1.2737665500000002
0.2699999 , -36.93121 , -100.0015 ,-1.2497331
0.2749999 , -36.92548 , -99.97862 ,-1.34586585
0.2799999 , -36.92548 , -100.0244 ,-1.39393275
0.2849999 , -36.92548 , -100.0702 ,-1.39393275
0.2899999 , -36.92548 , -100.0473 ,-1.5381324
0.2949999 , -36.91976 , -100.0473 ,-1.3218324000000001
0.2999999 , -36.92548 , -100.0015 ,-1.5140989500000002
0.3049999 , -36.92548 , -100.0702 ,-1.3218324000000001
0.3099999 , -36.92548 , -100.0473 ,-1.3698993000000002
0.3149998 , -36.92548 , -100.0473 ,-1.34586585
0.3199998 , -36.93121 , -100.0702 ,-1.5140989500000002
0.3249998 , -36.92548 , -100.0702 ,-1.4179662
0.3299998 , -36.92548 , -100.0473 ,-1.2737665500000002
0.3349998 , -36.92548 , -100.0473 ,-1.3698993000000002
0.3399998 , -36.93121 , -100.0702 ,-1.5140989500000002
0.3449998 , -36.91976 , -100.0015 ,-1.3698993000000002
0.3499998 , -36.92548 , -100.0244 ,-1.2978
0.3549998 , -36.93121 , -100.0702 ,-1.3218324000000001
0.3599998 , -36.91976 , -100.0244 ,-1.5381324
0.3649998 , -36.92548 , -100.0015 ,-1.39393275
0.3699998 , -36.92548 , -100.0473 ,-1.2737665500000002
0.3749998 , -36.91976 , -100.0244 ,-1.4660331000000002
0.3799998 , -36.92548 , -100.0244 ,-1.4660331000000002
0.3849998 , -36.93121 , -100.0473 ,-1.44199965
0.3899998 , -36.93121 , -100.0244 ,-1.2737665500000002
0.3949998 , -36.91976 , -100.0244 ,-1.39393275
0.3999998 , -36.92548 , -100.0015 ,-1.2016662
0.4049998 , -36.92548 , -100.0473 ,-1.39393275
0.4099998 , -36.91976 , -100.0015 ,-1.3218324000000001
0.4149998 , -36.92548 , -100.0015 ,-1.2737665500000002
0.4199997 , -36.92548 , -100.0473 ,-1.3218324000000001
0.4249997 , -36.92548 , -99.97862 ,-1.44199965
0.4299997 , -36.92548 , -100.0244 ,-1.3218324000000001
0.4349997 , -36.93121 , -100.0244 ,-1.4179662
0.4399997 , -36.93121 , -100.0244 ,-1.1776327500000001
0.4449997 , -36.93121 , -100.0244 ,-1.34586585
0.4499997 , -36.93121 , -100.0015 ,-1.5861993
0.4549997 , -36.93121 , -100.0244 ,-1.34586585
0.4599997 , -36.93121 , -100.0015 ,-1.2497331
0.4649997 , -36.91976 , -100.0473 ,-1.4660331000000002
0.4699997 , -36.93121 , -100.0473 ,-1.3218324000000001
0.4749997 , -36.92548 , -100.0244 ,-1.39393275
0.4799997 , -36.92548 , -100.0244 ,-1.2497331
0.4849997 , -36.92548 , -100.0473 ,-1.3218324000000001
0.4899997 , -36.93121 , -99.97862 ,-1.49006655
0.4949997 , -36.92548 , -100.0702 ,-1.4179662
0.4999997 , -36.92548 , -99.97862 ,-1.2737665500000002
0.5049997 , -36.93121 , -100.0244 ,-1.39393275
0.5099997 , -36.92548 , -100.0473 ,-1.3218324000000001
0.5149997 , -36.92548 , -100.0244 ,-1.4660331000000002
0.5199997 , -36.91976 , -100.0473 ,-1.5861993
0.5249997 , -36.93121 , -100.0015 ,-1.5381324
0.5299997 , -36.92548 , -100.0244 ,-1.44199965
0.5349997 , -36.93121 , -100.0473 ,-1.4660331000000002
0.5399997 , -36.93121 , -100.0015 ,-1.5140989500000002
0.5449997 , -36.92548 , -100.0473 ,-1.44199965
0.5499997 , -36.92548 , -100.0244 ,-1.2737665500000002
0.5549996 , -36.92548 , -99.97862 ,-1.49006655
0.5599996 , -36.93121 , -100.0244 ,-1.5140989500000002
0.5649996 , -36.93693 , -99.97862 ,-1.49006655
0.5699996 , -36.92548 , -100.0015 ,-1.4660331000000002
0.5749996 , -36.93121 , -100.0473 ,-1.3698993000000002
0.5799996 , -36.93121 , -100.0015 ,-1.39393275
0.5849996 , -36.92548 , -100.0473 ,-1.34586585
0.5899996 , -36.93121 , -100.0244 ,-1.44199965
