TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-03-25 21:17:41
 Time  , DY+ , F2X+ , F2Y+ 
 S  , mm , kN , kN 
0 , -37.40043 , -100.2304 ,-1.601580876
0.005 , -37.39471 , -100.116 ,-1.4838169710000002
0.01 , -37.39471 , -100.2075 ,-1.719343752
0.015 , -37.40043 , -100.2533 ,-1.6486864380000001
0.02 , -37.40043 , -100.2075 ,-1.5780280949999999
0.025 , -37.40043 , -100.2533 ,-1.554475314
0.03 , -37.40043 , -100.2991 ,-1.554475314
0.035 , -37.39471 , -100.2762 ,-1.554475314
0.04 , -37.39471 , -100.2533 ,-1.601580876
4.499999E-02 , -37.40043 , -100.2533 ,-1.554475314
4.999999E-02 , -37.40043 , -100.3448 ,-1.530922533
5.499999E-02 , -37.40615 , -100.2533 ,-1.4838169710000002
5.999999E-02 , -37.39471 , -100.3448 ,-1.554475314
6.499999E-02 , -37.40043 , -100.2762 ,-1.530922533
6.999999E-02 , -37.40043 , -100.322 ,-1.6251336570000001
0.075 , -37.40043 , -100.3906 ,-1.6486864380000001
0.08 , -37.39471 , -100.3906 ,-1.672239219
0.085 , -37.39471 , -100.322 ,-1.695790971
0.09 , -37.40043 , -100.3677 ,-1.6251336570000001
9.500001E-02 , -37.40043 , -100.4135 ,-1.790002095
0.1 , -37.39471 , -100.3906 ,-1.672239219
0.105 , -37.40615 , -100.4822 ,-1.5780280949999999
0.11 , -37.40043 , -100.4135 ,-1.766449314
0.115 , -37.39471 , -100.3906 ,-1.5780280949999999
0.12 , -37.40043 , -100.3906 ,-1.6486864380000001
0.125 , -37.39471 , -100.3906 ,-1.554475314
0.13 , -37.40043 , -100.4135 ,-1.695790971
0.135 , -37.40043 , -100.3906 ,-1.4367124380000003
0.14 , -37.39471 , -100.4364 ,-1.6251336570000001
0.145 , -37.39471 , -100.3906 ,-1.554475314
0.15 , -37.39471 , -100.4364 ,-1.6486864380000001
0.155 , -37.39471 , -100.5051 ,-1.766449314
0.16 , -37.40043 , -100.4364 ,-1.790002095
0.165 , -37.40043 , -100.3448 ,-1.4367124380000003
0.17 , -37.39471 , -100.3906 ,-1.601580876
0.175 , -37.40043 , -100.4593 ,-1.766449314
0.18 , -37.39471 , -100.4135 ,-1.507369752
0.185 , -37.39471 , -100.4135 ,-1.5780280949999999
0.19 , -37.39471 , -100.3448 ,-1.695790971
0.1949999 , -37.39471 , -100.3448 ,-1.530922533
0.1999999 , -37.39471 , -100.3906 ,-1.554475314
0.2049999 , -37.39471 , -100.4364 ,-1.5780280949999999
0.2099999 , -37.39471 , -100.3906 ,-1.530922533
0.2149999 , -37.40043 , -100.3677 ,-1.601580876
0.2199999 , -37.39471 , -100.2991 ,-1.695790971
0.2249999 , -37.40615 , -100.3677 ,-1.672239219
0.2299999 , -37.39471 , -100.322 ,-1.530922533
0.2349999 , -37.39471 , -100.2991 ,-1.6251336570000001
0.2399999 , -37.39471 , -100.3448 ,-1.695790971
0.2449999 , -37.39471 , -100.322 ,-1.530922533
0.2499999 , -37.39471 , -100.3448 ,-1.5780280949999999
0.2549999 , -37.39471 , -100.3677 ,-1.860660438
0.2599999 , -37.40615 , -100.322 ,-1.719343752
0.2649999 , -37.39471 , -100.2533 ,-1.7428965330000001
0.2699999 , -37.40615 , -100.2991 ,-1.6251336570000001
0.2749999 , -37.39471 , -100.322 ,-1.813554876
0.2799999 , -37.39471 , -100.322 ,-1.6486864380000001
0.2849999 , -37.40043 , -100.322 ,-1.790002095
0.2899999 , -37.40043 , -100.3448 ,-1.672239219
0.2949999 , -37.39471 , -100.322 ,-1.813554876
0.2999999 , -37.40043 , -100.2991 ,-1.790002095
0.3049999 , -37.40043 , -100.3448 ,-1.813554876
0.3099999 , -37.40043 , -100.2762 ,-1.7428965330000001
0.3149998 , -37.39471 , -100.2991 ,-1.7428965330000001
0.3199998 , -37.39471 , -100.2991 ,-1.766449314
0.3249998 , -37.39471 , -100.3448 ,-1.860660438
0.3299998 , -37.39471 , -100.2762 ,-1.766449314
0.3349998 , -37.39471 , -100.2762 ,-1.7428965330000001
