TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-11 17:13:33
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  4.288232 ,  4.337443 , -99.93285 , -2.105777  
 0.005 ,  4.288995 ,  4.337824 , -99.95573 , -2.082888  
 0.01 ,  4.28785 ,  4.337824 , -100.0473 , -2.082888  
 0.015 ,  4.288232 ,  4.337443 , -99.93285 , -2.082888  
 0.02 ,  4.287469 ,  4.337443 , -99.95573 , -2.082888  
 0.025 ,  4.288232 ,  4.337824 , -99.95573 , -2.014221  
 0.03 ,  4.288613 ,  4.337824 , -99.97862 , -2.105777  
 0.035 ,  4.287469 ,  4.337061 , -100.0015 , -2.105777  
 0.04 ,  4.288613 ,  4.338206 , -99.93285 , -2.128666  
 4.499999E-02 ,  4.28785 ,  4.337061 , -99.97862 , -2.128666  
 4.999999E-02 ,  4.287469 ,  4.337443 , -99.95573 , -2.128666  
 5.499999E-02 ,  4.288232 ,  4.337061 , -99.97862 , -2.082888  
 5.999999E-02 ,  4.287087 ,  4.337061 , -99.97862 , -2.128666  
 6.499999E-02 ,  4.288232 ,  4.337061 , -99.97862 , -2.128666  
 6.999999E-02 ,  4.287469 ,  4.337824 , -99.97862 , -2.105777  
 0.075 ,  4.287469 ,  4.337061 , -99.95573 , -2.105777  
 0.08 ,  4.287469 ,  4.337061 , -99.95573 , -2.128666  
 0.085 ,  4.287087 ,  4.33668 , -99.97862 , -2.105777  
 0.09 ,  4.287469 ,  4.337061 , -99.95573 , -2.151555  
 9.500001E-02 ,  4.287469 ,  4.337061 , -99.93285 , -2.174444  
 0.1 ,  4.287087 ,  4.337061 , -99.97862 , -2.105777  
 0.105 ,  4.287469 ,  4.337061 , -99.95573 , -2.151555  
 0.11 ,  4.286706 ,  4.337824 , -99.97862 , -2.151555  
 0.115 ,  4.287469 ,  4.336298 , -99.97862 , -2.151555  
 0.12 ,  4.287087 ,  4.337443 , -99.95573 , -2.174444  
 0.125 ,  4.287469 ,  4.336298 , -99.97862 , -2.128666  
 0.13 ,  4.28785 ,  4.337443 , -99.97862 , -2.174444  
 0.135 ,  4.287469 ,  4.337061 , -99.95573 , -2.151555  
 0.14 ,  4.28785 ,  4.337824 , -99.95573 , -2.174444  
 0.145 ,  4.286706 ,  4.33668 , -99.93285 , -2.197332  
 0.15 ,  4.287087 ,  4.338587 , -99.95573 , -2.174444  
 0.155 ,  4.287469 ,  4.337061 , -99.97862 , -2.197332  
 0.16 ,  4.286706 ,  4.337824 , -99.97862 , -2.151555  
