TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2024-11-11 15:13:45
 Time  , D2Y+ , D2Y- , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
 0 ,  4.418698 ,  4.301584 , -99.95573 , -1.007111  
 0.005 ,  4.41908 ,  4.302347 , -99.95573 , -1.007111  
 0.01 ,  4.419461 ,  4.301202 , -99.93285 , -1.007111  
 0.015 ,  4.418317 ,  4.301965 , -99.95573 , -1.03  
 0.02 ,  4.41908 ,  4.301202 , -99.95573 , -1.052889  
 0.025 ,  4.418317 ,  4.301584 , -99.95573 , -1.007111  
 0.03 ,  4.418698 ,  4.301202 , -99.95573 , -1.007111  
 0.035 ,  4.41908 ,  4.301965 , -99.95573 , -1.052889  
 0.04 ,  4.418317 ,  4.301202 , -99.97862 , -1.052889  
 4.499999E-02 ,  4.418698 ,  4.301202 , -99.95573 , -0.9842218  
 4.999999E-02 ,  4.418317 ,  4.301202 , -99.97862 , -1.03  
 5.499999E-02 ,  4.418698 ,  4.301584 , -99.95573 , -1.007111  
 5.999999E-02 ,  4.419461 ,  4.301202 , -99.97862 , -1.052889  
 6.499999E-02 ,  4.418317 ,  4.301584 , -99.95573 , -1.007111  
 6.999999E-02 ,  4.41908 ,  4.301965 , -99.93285 , -1.007111  
 0.075 ,  4.419461 ,  4.301584 , -99.95573 , -1.007111  
 0.08 ,  4.418698 ,  4.301584 , -99.95573 , -1.052889  
 0.085 ,  4.418698 ,  4.301584 , -99.97862 , -1.03  
 0.09 ,  4.418698 ,  4.301584 , -99.95573 , -1.03  
 9.500001E-02 ,  4.41908 ,  4.301584 , -99.93285 , -0.9842218  
 0.1 ,  4.418698 ,  4.301965 , -99.95573 , -1.052889  
 0.105 ,  4.41908 ,  4.301202 , -99.95573 , -1.052889  
 0.11 ,  4.419843 ,  4.301584 , -99.93285 , -0.9842218  
 0.115 ,  4.418698 ,  4.301202 , -99.90996 , -1.052889  
 0.12 ,  4.419843 ,  4.301965 , -99.95573 , -1.007111  
 0.125 ,  4.418698 ,  4.301202 , -99.95573 , -1.03  
 0.13 ,  4.418698 ,  4.301584 , -99.93285 , -1.03  
 0.135 ,  4.419461 ,  4.301202 , -99.93285 , -1.03  
 0.14 ,  4.418317 ,  4.301965 , -99.95573 , -1.007111  
 0.145 ,  4.419461 ,  4.301202 , -100.0015 , -0.9842218  
 0.15 ,  4.418317 ,  4.301584 , -99.95573 , -0.9842218  
 0.155 ,  4.41908 ,  4.300821 , -99.93285 , -0.9842218  
 0.16 ,  4.41908 ,  4.301965 , -99.93285 , -0.9842218  
 0.165 ,  4.418317 ,  4.300821 , -99.95573 , -1.03  
 0.17 ,  4.419461 ,  4.301584 , -99.95573 , -1.03  
 0.175 ,  4.418698 ,  4.300439 , -99.93285 , -1.03  
 0.18 ,  4.418698 ,  4.301965 , -99.95573 , -0.9842218  
 0.185 ,  4.418698 ,  4.301202 , -99.97862 , -1.052889  
 0.19 ,  4.418698 ,  4.301965 , -99.95573 , -1.03  
 0.1949999 ,  4.419461 ,  4.301202 , -99.93285 , -0.9842218  
 0.1999999 ,  4.418317 ,  4.301584 , -99.95573 , -0.961333  
 0.2049999 ,  4.41908 ,  4.300821 , -99.95573 , -1.03  
 0.2099999 ,  4.418317 ,  4.301584 , -99.97862 , -1.007111  
 0.2149999 ,  4.418698 ,  4.300821 , -100.0015 , -1.03  
 0.2199999 ,  4.419461 ,  4.301965 , -99.93285 , -1.007111  
 0.2249999 ,  4.41908 ,  4.301202 , -99.97862 , -1.007111  
 0.2299999 ,  4.419461 ,  4.301965 , -99.97862 , -0.9842218  
 0.2349999 ,  4.418698 ,  4.300439 , -99.97862 , -1.007111  
 0.2399999 ,  4.418698 ,  4.301965 , -99.97862 , -1.007111  
 0.2449999 ,  4.418698 ,  4.300439 , -99.97862 , -1.007111  
 0.2499999 ,  4.418317 ,  4.301584 , -99.97862 , -1.007111  
 0.2549999 ,  4.419461 ,  4.301202 , -100.0015 , -0.9842218  
 0.2599999 ,  4.418317 ,  4.301584 , -99.97862 , -1.03  
 0.2649999 ,  4.418698 ,  4.300439 , -99.93285 , -1.007111  
 0.2699999 ,  4.41908 ,  4.301965 , -99.95573 , -1.007111  
 0.2749999 ,  4.418698 ,  4.300821 , -99.95573 , -1.007111  
 0.2799999 ,  4.419461 ,  4.301584 , -99.95573 , -1.052889  
 0.2849999 ,  4.418317 ,  4.301202 , -99.97862 , -1.007111  
 0.2899999 ,  4.41908 ,  4.301965 , -99.95573 , -1.052889  
 0.2949999 ,  4.418698 ,  4.301202 , -99.95573 , -0.9842218  
 0.2999999 ,  4.41908 ,  4.301584 , -99.97862 , -1.007111  
 0.3049999 ,  4.420224 ,  4.301202 , -99.93285 , -1.075777  
 0.3099999 ,  4.418698 ,  4.301584 , -99.93285 , -0.9842218  
 0.3149998 ,  4.418698 ,  4.301202 , -99.95573 , -1.03  
 0.3199998 ,  4.418317 ,  4.301202 , -99.95573 , -1.052889  
 0.3249998 ,  4.418317 ,  4.301202 , -99.95573 , -1.007111  
 0.3299998 ,  4.419461 ,  4.301584 , -99.97862 , -1.052889  
 0.3349998 ,  4.418698 ,  4.300821 , -99.95573 , -1.052889  
 0.3399998 ,  4.418698 ,  4.301965 , -99.93285 , -1.03  
 0.3449998 ,  4.418698 ,  4.301584 , -99.95573 , -1.03  
 0.3499998 ,  4.418698 ,  4.300821 , -99.93285 , -1.007111  
 0.3549998 ,  4.419461 ,  4.301202 , -99.95573 , -1.075777  
 0.3599998 ,  4.418698 ,  4.301202 , -99.97862 , -1.03  
 0.3649998 ,  4.419461 ,  4.301584 , -99.93285 , -0.9842218  
 0.3699998 ,  4.418317 ,  4.300821 , -99.93285 , -1.052889  
 0.3749998 ,  4.418698 ,  4.301202 , -99.93285 , -1.052889  
 0.3799998 ,  4.418698 ,  4.301202 , -99.97862 , -1.052889  
 0.3849998 ,  4.418317 ,  4.301584 , -99.95573 , -1.03  
 0.3899998 ,  4.419461 ,  4.301584 , -99.95573 , -1.007111  
 0.3949998 ,  4.418698 ,  4.301202 , -99.97862 , -1.03  
 0.3999998 ,  4.418698 ,  4.301202 , -99.95573 , -1.007111  
 0.4049998 ,  4.419461 ,  4.301584 , -100.0015 , -1.007111  
 0.4099998 ,  4.418317 ,  4.301202 , -99.95573 , -1.052889  
 0.4149998 ,  4.41908 ,  4.301965 , -99.95573 , -1.098666  
 0.4199997 ,  4.418698 ,  4.300821 , -99.95573 , -1.052889  
 0.4249997 ,  4.419461 ,  4.301584 , -99.93285 , -1.052889  
 0.4299997 ,  4.419461 ,  4.300439 , -99.93285 , -0.9842218  
 0.4349997 ,  4.418698 ,  4.301965 , -99.95573 , -1.03  
 0.4399997 ,  4.41908 ,  4.300821 , -99.93285 , -1.007111  
 0.4449997 ,  4.41908 ,  4.301584 , -99.95573 , -1.007111  
 0.4499997 ,  4.419461 ,  4.300821 , -99.95573 , -1.03  
 0.4549997 ,  4.418698 ,  4.301965 , -99.95573 , -1.03  
 0.4599997 ,  4.418698 ,  4.301202 , -99.93285 , -1.007111  
 0.4649997 ,  4.418698 ,  4.301965 , -99.97862 , -1.007111  
 0.4699997 ,  4.418317 ,  4.300821 , -99.95573 , -1.03  
 0.4749997 ,  4.41908 ,  4.302347 , -99.97862 , -1.052889  
 0.4799997 ,  4.418698 ,  4.301202 , -99.93285 , -1.007111  
 0.4849997 ,  4.41908 ,  4.301965 , -99.88707 , -1.03  
 0.4899997 ,  4.419461 ,  4.300439 , -99.93285 , -1.052889  
 0.4949997 ,  4.418698 ,  4.301965 , -99.93285 , -0.9842218  
 0.4999997 ,  4.41908 ,  4.301202 , -99.95573 , -0.9842218  
 0.5049997 ,  4.418698 ,  4.301965 , -99.95573 , -0.9842218  
 0.5099997 ,  4.41908 ,  4.301202 , -99.95573 , -1.03  
 0.5149997 ,  4.41908 ,  4.301584 , -99.93285 , -1.075777  
 0.5199997 ,  4.418317 ,  4.301202 , -99.95573 , -1.03  
 0.5249997 ,  4.418698 ,  4.301965 , -100.0015 , -0.961333  
 0.5299997 ,  4.418698 ,  4.300821 , -99.93285 , -1.03  
 0.5349997 ,  4.418317 ,  4.301965 , -99.97862 , -1.098666  
 0.5399997 ,  4.418317 ,  4.301584 , -99.95573 , -1.007111  
 0.5449997 ,  4.418317 ,  4.301202 , -99.93285 , -1.03  
 0.5499997 ,  4.418698 ,  4.300821 , -99.95573 , -1.007111  
 0.5549996 ,  4.418317 ,  4.301202 , -99.97862 , -1.052889  
 0.5599996 ,  4.419461 ,  4.300439 , -99.95573 , -1.03  
 0.5649996 ,  4.419461 ,  4.301584 , -99.93285 , -0.9842218  
 0.5699996 ,  4.418317 ,  4.301202 , -99.97862 , -1.007111  
 0.5749996 ,  4.41908 ,  4.301584 , -99.97862 , -1.007111  
 0.5799996 ,  4.418317 ,  4.301202 , -99.93285 , -1.007111  
 0.5849996 ,  4.419461 ,  4.301202 , -99.93285 , -1.007111  
 0.5899996 ,  4.418317 ,  4.301965 , -99.97862 , -0.9842218  
 0.5949996 ,  4.418698 ,  4.301584 , -100.0015 , -1.007111  
 0.5999996 ,  4.41908 ,  4.301202 , -99.95573 , -1.03  
